datetime_kst	latitude	longitude	spd
2024-07-16 11:26:50	36.4930557	127.300813	38.52
2024-07-16 11:26:51	36.4931356	127.3008838	38.808
2024-07-16 11:26:52	36.4932126	127.3009566	38.52
2024-07-16 11:26:53	36.4932854	127.301028	38.736
2024-07-16 11:26:54	36.4933618	127.301103	38.88
2024-07-16 11:26:55	36.4934424	127.3011828	39.384
2024-07-16 11:26:56	36.4935175	127.3012581	40.032
2024-07-16 11:26:57	36.4935953	127.3013338	39.6
2024-07-16 11:26:58	36.4936716	127.3014102	39.24
2024-07-16 11:26:59	36.4937486	127.3014855	39.672
2024-07-16 11:27:00	36.4938262	127.3015616	39.888
2024-07-16 11:27:01	36.4939034	127.3016383	39.888
2024-07-16 11:27:02	36.4939812	127.3017142	39.312
2024-07-16 11:27:03	36.4940578	127.3017896	37.584
2024-07-16 11:27:04	36.4941271	127.3018578	33.048
2024-07-16 11:27:05	36.4941876	127.3019171	28.368
2024-07-16 11:27:06	36.4942397	127.3019682	24.192
2024-07-16 11:27:07	36.4942789	127.3020062	19.512
2024-07-16 11:27:08	36.4943156	127.3020416	13.608
2024-07-16 11:27:09	36.4943361	127.3020615	7.128
2024-07-16 11:27:10	36.4943466	127.3020716	4.536
2024-07-16 11:27:11	36.4943543	127.3020796	3.312
2024-07-16 11:27:12	36.4943593	127.3020851	2.16
2024-07-16 11:27:13	36.4943625	127.3020875	1.008
2024-07-16 11:27:14	36.4943637	127.3020887	0.288
2024-07-16 11:27:15	36.4943641	127.302089	0.072
2024-07-16 11:27:16	36.4943642	127.3020891	0
